UserName,User_Created,Tweet_text,Tweet_Data,Tweet_Hashtags,User_FollowCount,User_FriendCount
kpowell720,2011-03-23 04:37:35,"b'Powell at the Park, Episode 26 is up! \n-@soxmachine_josh talks #WhiteSox/Luis Robert \n-@TonyAndracki23 talks #Cubs/Addison Russell\nWeb: https://t.co/7jFJQYos2e\niTunes: https://t.co/6G8Cg7QCsK'",2019-05-01 19:11:47,"['WhiteSox', 'Cubs']",3513,3024
shshshshshsh,2009-04-27 23:00:37,b'AG\xe2\x80\x99s rational for dismissing Trump\xe2\x80\x99s \xe2\x80\x9ccorrupt intent\xe2\x80\x9d ... if the accused feels he is being \xe2\x80\x9cunfairly\xe2\x80\x9d accused of a crime then it\xe2\x80\x99s not corrupt to try to stop an investigation of that crime? What kind of crackpot logic is that? https://t.co/dEwRRwWUNg',2019-05-01 19:11:46,[],97,405
N2wishn,2007-03-11 19:04:12,b'Trump Loses His Mind in 60-Tweet Tirade After Firefighters Endorse Biden - Vanity Fair https://t.co/FlZ9ZZukoD',2019-05-01 19:11:44,[],187,630
cerebral_paulsy,2011-12-27 21:39:50,b'\xe2\x81\xa6@richdpauls\xe2\x81\xa9 I know you\xe2\x80\x99re concerned about this stuff.... https://t.co/eaMYMr4QMS',2019-05-01 19:11:43,[],344,315
vikkivale,2008-06-30 01:08:36,"b'Highly efficient thermoelectric generation, but only in the cold - Ars Technica https://t.co/Qd6gXS7Sxl'",2019-05-01 19:11:42,[],272,440
AnastasiaTroy,2012-06-25 00:13:53,"b""Hi!   Check out Fr. Steve's Easter homily!   \nhttps://t.co/uhLFapMxxb https://t.co/VOXwHMubap""",2019-05-01 19:11:40,[],417,165
DearMyrinda,2014-07-03 19:59:53,b'We are more than long hair and makeup. More than breasts and no Adam\xe2\x80\x99s apple. We are strong because we were born strong. We demand equality because we were created equal. We deserve respect because over thousands of years we have earned respect. THAT is womanhood.',2019-05-01 19:11:39,[],79,68
JoeCrummey,2009-04-07 15:23:04,"b""AG William Barr testifies on Capitol Hill, after last night's fake news WaPo story which reveals Lefty Impeachment Porn is on life support.\n@The_Trump_Train\nEnjoy today's Evil Thoughts here:\nhttps://t.co/K7a1jhP7t0 https://t.co/Q8rz5kC6qz""",2019-05-01 19:11:37,[],778,24
Sokol_1,2009-11-14 21:04:06,b'\xf0\x9f\x91\x8d\xf0\x9f\x99\x82The median Tesla employee made 81% more than the median American in 2018 - Business Insider https://t.co/wNfCS4GmgY',2019-05-01 19:11:36,[],84,265
bcnorange,2014-05-29 15:35:54,b'BBC News - Apple iPhone sales drop at record pace https://t.co/7NBYlEFE7B It\xe2\x80\x99s the beginning of the end for the #iphone unless @Apple is able to win back users with more innovation than its peers.',2019-05-01 19:11:35,['iphone'],252,685
chancesr,2008-09-24 19:38:52,b'Trump Loses His Mind in 60-Tweet Tirade After Firefighters Endorse Biden - Vanity Fair https://t.co/TCu6cEE5eL',2019-05-01 19:11:35,[],1594,2963
Apple_Shapple,2012-07-28 18:01:29,b'I hope you get Kinanansi for not calling me. https://t.co/dj8BquSI3h',2019-05-01 19:11:34,[],938,119
lammertdoddema,2014-03-27 12:30:47,"b""Top Apple analyst: The surge in services isn't enough because 75% of business likely to decline https://t.co/IEVq2txih4 https://t.co/UIp0liD91s""",2019-05-01 19:11:33,[],1911,1868
Rohitko65806649,2015-01-07 01:39:35,b'Apple iPhone global shipments slip 23 per cent: Canalys https://t.co/NAEG9vF94D',2019-05-01 19:11:33,[],55,3
AmznBookClub,2017-12-01 18:28:24,"b'Are you a fan of ""A Song of Ice and Fire""? Bummed that the last book will likely never see the light of day? Time to get in on the ground floor of an exciting new fantasy series some are calling ""pretty similar"" to the George R.R. Martin fantasy classic. https://t.co/n6btTxmjnH'",2019-05-01 19:11:31,[],358,1686
